Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
P70451,Tyrosine-protein kinase Fer,Fer,Kinase,Nucleus,Yes,,,,
P70451-4,Isoform 4 of Tyrosine-protein kinase Fer,Fer,Kinase,Nucleus,,Yes,,,
P70452,Syntaxin-4,Stx4,Transporter,,Yes,,,,
P70458,Plasma serine protease inhibitor,Serpina5,,Acrosome,Yes,Yes,Yes,0.535,0.388
P70459,ETS domain-containing transcription factor ERF,Erf,Transcription regulator,Nucleus,Yes,,,,
P70460,Vasodilator-stimulated phosphoprotein,Vasp,,,Yes,Yes,Yes,0.844,-0.146
P70662,LIM domain-binding protein 1,Ldb1,Transcription regulator,Nucleus,Yes,,,,
P70665,Sialate O-acetylesterase,Siae,Enzyme,,Yes,,,,
P70670,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",Naca,Transcription regulator,Nucleus,Yes,,,,
P70671,Interferon regulatory factor 3,Irf3,Transcription regulator,Nucleus; Mitochondria,Yes,,,,
P70677,Caspase-3,Casp3,Peptidase,Nucleus,Yes,,,,
P70696,Histone H2B type 1-A,H2bc1,,Nucleus,Yes,Yes,Yes,2.628,0.687
P70697,Uroporphyrinogen decarboxylase,Urod,Enzyme,,Yes,,,,
P70698,CTP synthase 1,Ctps1,Enzyme,,Yes,Yes,Yes,1.765,-0.462
P70699,Lysosomal alpha-glucosidase,Gaa,Enzyme,,Yes,,,,
P70700,DNA-directed RNA polymerase I subunit RPA2,Polr1b,Enzyme,Nucleus,Yes,,,,
P70704-2,Isoform 2 of Phospholipid-transporting ATPase IA,Atp8a1,,,Yes,,,,
P80313,T-complex protein 1 subunit eta,Cct7,,,Yes,Yes,Yes,1.202,-0.1
P80314,T-complex protein 1 subunit beta,Cct2,Kinase,,Yes,Yes,Yes,0.733,0.046
P80315,T-complex protein 1 subunit delta,Cct4,,,Yes,Yes,Yes,1.335,0.025
P80316,T-complex protein 1 subunit epsilon,Cct5,,,Yes,Yes,Yes,0.243,0.037
P80317,T-complex protein 1 subunit zeta,Cct6a,,,Yes,Yes,Yes,0.027,0.004
P80318,T-complex protein 1 subunit gamma,Cct3,,,Yes,Yes,Yes,1.12,-0.06
P81069,GA-binding protein subunit beta-2,Gabpb2,Transcription regulator,Nucleus,Yes,,,,
P81117,Nucleobindin-2,Nucb2,,Nucleus; Mitochondria,Yes,Yes,Yes,4.765,-1.916
P82020,Beta-defensin 2,Defb2,,,,Yes,,,
P82198,Transforming growth factor-beta-induced protein ig-h3,Tgfbi,,,Yes,,,,
P82343,N-acylglucosamine 2-epimerase,Renbp,Enzyme,,Yes,,,,
P83093,Stromal interaction molecule 2,Stim2,Transporter,,Yes,,,,
P83741,Serine/threonine-protein kinase WNK1,Wnk1,Kinase,,,Yes,,,
P83741-2,Isoform 2 of Serine/threonine-protein kinase WNK1,Wnk1,Kinase,,Yes,,,,
P83870,PHD finger-like domain-containing protein 5A,Phf5a,Transcription regulator,Nucleus,Yes,,,,
P83877,Thioredoxin-like protein 4A,Txnl4a,Enzyme,Nucleus,Yes,,,,
P83882,60S ribosomal protein L36a,Rpl36a,,,Yes,Yes,Yes,2.117,-1.358
P83887,Tubulin gamma-1 chain,Tubg1,,Nucleus,Yes,Yes,Yes,2.917,-0.798
P83917,Chromobox protein homolog 1,Cbx1,Transcription regulator,Nucleus,Yes,,,,
P83940,Elongin-C,Eloc,Transcription regulator,Nucleus,Yes,Yes,Yes,0.136,0.024
P84078,ADP-ribosylation factor 1 ,Arf1,,,,,,,
P84084,ADP-ribosylation factor 5,Arf5,Enzyme,,Yes,Yes,Yes,6.875,-1.951
P84089,Enhancer of rudimentary homolog,Erh,,Nucleus,Yes,,,,
P84091,AP-2 complex subunit mu,Ap2m1,,,Yes,,,,
P84096,Rho-related GTP-binding protein RhoG,Rhog,Enzyme,,Yes,Yes,Yes,3.395,-1.572
P84099,60S ribosomal protein L19,Rpl19,,,Yes,Yes,Yes,4.426,-1.312
P84104,Serine/arginine-rich splicing factor 3,Srsf3,,Nucleus,Yes,Yes,Yes,4.573,-1.164
P84228,Histone H3.2,H3c2,,Nucleus,Yes,Yes,Yes,5.202,-2.767
P84244,Histone H3.3,H3-3a,,Nucleus,Yes,Yes,Yes,1.575,-1.426
P85094,Isochorismatase domain-containing protein 2A,Isoc2a,Enzyme,Nucleus,Yes,Yes,Yes,2.299,0.637
P86048,60S ribosomal protein L10-like,Rpl10l,,Nucleus,,Yes,,,
P97290,Plasma protease C1 inhibitor,Serping1,,,,Yes,,,
P97300,Neuroplastin,Nptn,,,Yes,Yes,Yes,3.628,-1.407
P97304,DNA-directed RNA polymerases I and III subunit RPAC2,Polr1d,Enzyme,Nucleus,Yes,,,,
P97310,DNA replication licensing factor MCM2,Mcm2,Enzyme,Nucleus,Yes,,,,
P97311,DNA replication licensing factor MCM6,Mcm6,Enzyme,Nucleus,Yes,,,,
P97313,DNA-dependent protein kinase catalytic subunit,Prkdc,Kinase,Nucleus,Yes,,,,
P97315,Cysteine and glycine-rich protein 1,Csrp1,,Nucleus,Yes,,,,
P97324,Glucose-6-phosphate 1-dehydrogenase 2,G6pd2,Enzyme,,Yes,Yes,Yes,4.084,1.035
P97328,Ketohexokinase,Khk,Kinase,Nucleus,Yes,,,,
P97346,Nucleoredoxin,Nxn,Enzyme,Nucleus,Yes,,,,
P97351,40S ribosomal protein S3a,Rps3a,,Nucleus,Yes,Yes,Yes,4.466,-1.543
P97352,Protein S100-A13,S100a13,,Nucleus,Yes,,,,
P97360,Transcription factor ETV6,Etv6,Transcription regulator,Nucleus,Yes,,,,
P97363,Serine palmitoyltransferase 2,Sptlc2,Enzyme,,Yes,,,,
P97364,"Selenide, water dikinase 2",Sephs2,Enzyme,,Yes,Yes,Yes,1.329,0.24
P97370,Sodium/potassium-transporting ATPase subunit beta-3,Atp1b3,Transporter,Flagellum,Yes,Yes,Yes,2.501,0.253
P97371,Proteasome activator complex subunit 1,Psme1,,,Yes,Yes,Yes,4.407,-1.038
P97372,Proteasome activator complex subunit 2,Psme2,Peptidase,,Yes,Yes,Yes,1.748,-0.848
P97376,Protein FRG1,Frg1,Transporter,Nucleus,Yes,,,,
P97379,Ras GTPase-activating protein-binding protein 2,G3bp2,Enzyme,,Yes,,,,
P97384,Annexin A11,Anxa11,,Nucleus,Yes,Yes,Yes,4.016,-1.425
P97386,DNA ligase 3,Lig3,Enzyme,Nucleus,Yes,Yes,Yes,5.379,-1.282
P97390,Vacuolar protein sorting-associated protein 45,Vps45,Transporter,,Yes,,,,
P97393,Rho GTPase-activating protein 5,Arhgap5,Enzyme,,Yes,,,,
P97401,Secreted frizzled-related protein 3,Frzb,,,Yes,Yes,Yes,1.088,0.542
P97411,Islet cell autoantigen 1,Ica1,,,Yes,,,,
P97429,Annexin A4,Anxa4,,Nucleus,Yes,Yes,Yes,3.331,-0.956
P97431,Interferon regulatory factor 6,Irf6,Transcription regulator,Nucleus,Yes,,,,
P97433,Rho guanine nucleotide exchange factor 28,Arhgef28,,,Yes,,,,
P97434,Myosin phosphatase Rho-interacting protein,Mprip,,,Yes,,,,
P97441,Zinc transporter 3,Slc30a3,Transporter,,,Yes,,,
P97447,Four and a half LIM domains protein 1,Fhl1,,Nucleus,Yes,,,,
P97449,Aminopeptidase N,Anpep,Peptidase,,Yes,,,,
P97450,"ATP synthase-coupling factor 6, mitochondrial",Atp5pf,Transporter,Mitochondria,Yes,Yes,Yes,2.595,-0.147
P97452,Ribosome biogenesis protein BOP1,Bop1,,Nucleus,Yes,,,,
P97461,40S ribosomal protein S5,Rps5,,,Yes,Yes,Yes,3.437,-1.286
P97465,Docking protein 1,Dok1,Kinase,Nucleus,Yes,,,,
P97470,Serine/threonine-protein phosphatase 4 catalytic subunit,Ppp4c,Phosphatase,Nucleus,Yes,Yes,Yes,0.598,-0.054
P97471,Mothers against decapentaplegic homolog 4,Smad4,Transcription regulator,Nucleus,Yes,,,,
P97473,RISC-loading complex subunit TARBP2,Tarbp2,,Nucleus,Yes,Yes,Yes,0.263,-0.144
P97478,"5-demethoxyubiquinone hydroxylase, mitochondrial",Coq7,Enzyme,Nucleus; Mitochondria,Yes,,,,
P97493,"Thioredoxin, mitochondrial",Txn2,Enzyme,,Yes,Yes,Yes,1.462,-0.143
P97494,Glutamate--cysteine ligase catalytic subunit,Gclc,Enzyme,,Yes,Yes,Yes,2.164,0.231
P97496,SWI/SNF complex subunit SMARCC1,Smarcc1,Transcription regulator,Nucleus,Yes,,,,
P97501,Dimethylaniline monooxygenase [N-oxide-forming] 3,Fmo3,Enzyme,,Yes,,,,
P97742,"Carnitine O-palmitoyltransferase 1, liver isoform",Cpt1a,Enzyme,Mitochondria,Yes,Yes,Yes,4.809,-2.163
P97760,DNA-directed RNA polymerase II subunit RPB3,Polr2c,Enzyme,Nucleus,Yes,,,,
P97765,WW domain-binding protein 2,Wbp2,Transcription regulator,Nucleus,Yes,,,,
P97770,THUMP domain-containing protein 3,Thumpd3,,,Yes,,,,
P97783,Protein AF1q,Mllt11,,Nucleus,,Yes,,,
P97789,5'-3' exoribonuclease 1,Xrn1,Enzyme,Nucleus,Yes,,,,
P97792,Coxsackievirus and adenovirus receptor homolog,Cxadr,Transmembrane receptor,Nucleus,Yes,,,,
P97805,Protein FAM3D,Fam3d,Cytokine,,Yes,Yes,Yes,2.248,0.897
P97807,"Fumarate hydratase, mitochondrial",Fh,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,1.332,-0.122
P97819,85/88 kDa calcium-independent phospholipase A2,Pla2g6,Enzyme,,Yes,Yes,Yes,0.595,0.098
P97821,Dipeptidyl peptidase 1,Ctsc,Peptidase,,Yes,,,,
P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Anp32e,,Nucleus,Yes,Yes,Yes,3.57,-1.981
P97823,Acyl-protein thioesterase 1,Lypla1,Enzyme,Nucleus,Yes,Yes,Yes,1.39,0.224
P97855,Ras GTPase-activating protein-binding protein 1,G3bp1,Enzyme,Nucleus,Yes,,,,
P97863,Nuclear factor 1 B-type,Nfib,Transcription regulator,Nucleus,Yes,,,,
P97864,Caspase-7,Casp7,Peptidase,Nucleus,Yes,,,,
P97868,E3 ubiquitin-protein ligase RBBP6,Rbbp6,Enzyme,Nucleus,Yes,,,,
P97927,Laminin subunit alpha-4,Lama4,Enzyme,,Yes,,,,
P97930,Thymidylate kinase,Dtymk,Kinase,Nucleus; Mitochondria,Yes,Yes,Yes,0.033,-0.006
P98078,Disabled homolog 2,Dab2,,Nucleus,Yes,,,,
P98083,SHC-transforming protein 1,Shc1,,Nucleus; Mitochondria,Yes,,,,
P98191,Phosphatidate cytidylyltransferase 1,Cds1,Enzyme,,Yes,Yes,Yes,1.584,-0.348
P98192,Dihydroxyacetone phosphate acyltransferase,Gnpat,Enzyme,Mitochondria,Yes,Yes,Yes,2.522,0.27
P98195,Probable phospholipid-transporting ATPase IIB,Atp9b,Transporter,,Yes,,,,
P98197,Probable phospholipid-transporting ATPase IH,Atp11a,Transporter,,Yes,Yes,Yes,2.45,-0.587
P98200,Phospholipid-transporting ATPase IB,Atp8a2,Transporter,,,Yes,,,
P98203,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,Arvcf,,Nucleus,Yes,,,,
P99024,Tubulin beta-5 chain,Tubb5,,Nucleus,Yes,Yes,Yes,5.075,-1.574
P99026,Proteasome subunit beta type-4,Psmb4,Peptidase,Nucleus,Yes,Yes,Yes,0.139,0.043
P99027,60S acidic ribosomal protein P2,Rplp2,,,Yes,Yes,Yes,4.305,-1.339
P99028,"Cytochrome b-c1 complex subunit 6, mitochondrial",Uqcrh,,Mitochondria,Yes,Yes,Yes,0.323,-0.186
P99029,"Peroxiredoxin-5, mitochondrial",Prdx5,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,1.276,0.177
Q00262,Syntaxin-2,Stx2,Transporter,,Yes,Yes,Yes,1.593,0.741
Q00288,Paired box protein Pax-8,Pax8,Transcription regulator,Nucleus,Yes,,,,
Q00422,GA-binding protein alpha chain,Gabpa,Transcription regulator,Nucleus,Yes,,,,
Q00493,Carboxypeptidase E,Cpe,Peptidase,,Yes,,,,
Q00558,40-kDa huntingtin-associated protein,F8a1,,Nucleus,Yes,Yes,Yes,2.511,-0.762
Q00612,Glucose-6-phosphate 1-dehydrogenase X,G6pdx,Enzyme,Nucleus,Yes,Yes,Yes,4.067,-2.325
Q00623,Apolipoprotein A-I,Apoa1,Transporter,Nucleus,Yes,,,,
Q00896,Alpha-1-antitrypsin 1-3,Serpina1c,,,Yes,,,,
Q00897,Alpha-1-antitrypsin 1-4,Serpina1d,,,Yes,,,,
Q00899,Transcriptional repressor protein YY1,Yy1,Transcription regulator,Nucleus,Yes,,,,
Q00915,Retinol-binding protein 1,Rbp1,Transporter,,Yes,,,,
Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2,Hnrnpul2,,Nucleus,Yes,Yes,Yes,4.017,-2.713
Q01149,Collagen alpha-2(I) chain,Col1a2,,,Yes,,,,
Q01237,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,Enzyme,,Yes,,,,
Q01279,Epidermal growth factor receptor,Egfr,Kinase,Nucleus,Yes,,,,
Q01339,Beta-2-glycoprotein 1,Apoh,Transporter,,Yes,Yes,Yes,1.285,0.217
Q01405,Protein transport protein Sec23A,Sec23a,Transporter,,Yes,Yes,Yes,5.499,-1.589
Q01705,Neurogenic locus notch homolog protein 1,Notch1,Transcription regulator,Nucleus,Yes,,,,
Q01730,Ras suppressor protein 1,Rsu1,,,Yes,,,,
Q01755,T-complex protein 11,Tcp11,,Acrosome; Mid-piece; Flagellum,Yes,Yes,Yes,1.526,0.15
Q01768,Nucleoside diphosphate kinase B,Nme2,Kinase,Nucleus; Mitochondria,Yes,Yes,Yes,2.791,-0.474
Q01853,Transitional endoplasmic reticulum ATPase,Vcp,Enzyme,Nucleus,Yes,Yes,Yes,2.805,-0.24
Q02013,Aquaporin-1,Aqp1,Transporter,Nucleus,Yes,,,,
Q02053,Ubiquitin-like modifier-activating enzyme 1,Uba1,Enzyme,Nucleus,Yes,Yes,Yes,3.727,-0.505
Q02105,Complement C1q subcomponent subunit C,C1qc,,,Yes,,,,
Q02111,Protein kinase C theta type,Prkcq,Kinase,Nucleus,,Yes,,,
Q02248,Catenin beta-1,Ctnnb1,Transcription regulator,Nucleus,Yes,Yes,Yes,3.911,-1.894
Q02257,Junction plakoglobin,Jup,,Nucleus,Yes,Yes,Yes,4.295,-1.317
Q02357,Ankyrin-1,Ank1,,Nucleus,Yes,,,,
Q02614,SAP30-binding protein,Sap30bp,Transcription regulator,Nucleus,Yes,,,,
Q02788,Collagen alpha-2(VI) chain,Col6a2,,,Yes,,,,
Q02819,Nucleobindin-1,Nucb1,,Nucleus,Yes,Yes,Yes,2.956,-0.968
Q02844,Tryptase,Tpsab1,Peptidase,,Yes,,,,
Q03141,MAP/microtubule affinity-regulating kinase 3,Mark3,Kinase,,Yes,,,,
Q03147,Cyclin-dependent kinase 7,Cdk7,Kinase,Nucleus,Yes,,,,
Q03173-4,Isoform 3 of Protein enabled homolog,Enah,,,Yes,Yes,Yes,0.423,0.055
Q03265,"ATP synthase subunit alpha, mitochondrial",Atp5f1a,Transporter,Nucleus; Mitochondria,Yes,Yes,Yes,3.378,-0.347
Q03347,Runt-related transcription factor 1,Runx1,Transcription regulator,Nucleus,Yes,,,,
Q03401,Cysteine-rich secretory protein 1,Crisp1,,,Yes,Yes,Yes,3.057,0.647
Q03958,Prefoldin subunit 6,Pfdn6,,Nucleus,Yes,,,,
Q03963,"Interferon-induced, double-stranded RNA-activated protein kinase",Eif2ak2,Kinase,Nucleus,Yes,,,,
Q04207,Transcription factor p65,Rela,Transcription regulator,Nucleus,Yes,,,,
Q04447,Creatine kinase B-type,Ckb,Kinase,Nucleus; Mitochondria,Yes,,,,
Q04519,Sphingomyelin phosphodiesterase,Smpd1,Enzyme,,Yes,,,,
Q04592,Proprotein convertase subtilisin/kexin type 5,Pcsk5,Peptidase,,Yes,,,,
Q04690,Neurofibromin,Nf1,,Nucleus,Yes,,,,
Q04735,Cyclin-dependent kinase 16,Cdk16,Kinase,Nucleus,,Yes,,,
Q04736,Tyrosine-protein kinase Yes,Yes1,Kinase,,Yes,,,,
Q04744,Homeobox protein EMX2,Emx2,Transcription regulator,Nucleus,Yes,,,,
Q04750,DNA topoisomerase 1,Top1,Enzyme,Nucleus,Yes,Yes,Yes,4.892,-2.628
Q04758,cAMP-dependent protein kinase inhibitor beta,Pkib,,Nucleus,,Yes,,,
Q04857,Collagen alpha-1(VI) chain,Col6a1,,,Yes,,,,
Q04887,Transcription factor SOX-9,Sox9,Transcription regulator,Nucleus,Yes,,,,
Q05144,Ras-related C3 botulinum toxin substrate 2,Rac2,Enzyme,,Yes,,,,
Q05186,Reticulocalbin-1,Rcn1,,,Yes,Yes,Yes,4.697,-1.672
Q05421,Cytochrome P450 2E1,Cyp2e1,Enzyme,Mitochondria,Yes,,,,
Q05512,Serine/threonine-protein kinase MARK2,Mark2,Kinase,Nucleus,Yes,,,,
Q05769,Prostaglandin G/H synthase 2,Ptgs2,Enzyme,Nucleus,,Yes,,,
Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein,Hspg2,Enzyme,,Yes,,,,
Q05816,Fatty acid-binding protein 5,Fabp5,Transporter,Nucleus,Yes,,,,
Q05909,Receptor-type tyrosine-protein phosphatase gamma,Ptprg,Phosphatase,,Yes,,,,
Q05920,"Pyruvate carboxylase, mitochondrial",Pc,Enzyme,Mitochondria,Yes,Yes,Yes,3.55,-0.319
Q05921,2-5A-dependent ribonuclease,Rnasel,Enzyme,,Yes,,,,
Q059Y8,E3 ubiquitin-protein ligase DCST1,Dcst1,Enzyme,,Yes,Yes,Yes,0.99,0.388
Q05A62,"Dynein light chain 1, axonemal",Dnal1,,Axoneme,Yes,Yes,Yes,1.54,0.3
Q05CL8,La-related protein 7,Larp7,,Nucleus,Yes,,,,
Q05D44,Eukaryotic translation initiation factor 5B,Eif5b,Translation regulator,,Yes,,,,
Q06138,Calcium-binding protein 39,Cab39,Enzyme,,Yes,Yes,Yes,1.49,-0.305
Q06185,"ATP synthase subunit e, mitochondrial",Atp5me,Enzyme,Mitochondria,Yes,Yes,Yes,1.772,-0.111
Q06335,Amyloid-like protein 2,Aplp2,,Nucleus,Yes,Yes,Yes,0.833,-0.39
Q06890,Clusterin,Clu,,Nucleus; Mitochondria,Yes,Yes,Yes,1.073,-0.088
Q07076,Annexin A7,Anxa7,Ion channel,Nucleus,Yes,Yes,Yes,3.536,-1.548
Q07113,Cation-independent mannose-6-phosphate receptor,Igf2r,Transmembrane receptor,Nucleus,Yes,,,,
Q07133,Histone H1t,H1-6,,Nucleus,,Yes,,,
Q07231,Zinc finger and SCAN domain-containing protein 21,Zscan21,Transcription regulator,Nucleus,Yes,,,,
Q07235,Glia-derived nexin,Serpine2,,,,Yes,,,
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Acads,Enzyme,Mitochondria,Yes,Yes,Yes,5.189,-1.432
Q07797,Galectin-3-binding protein,Lgals3bp,Transmembrane receptor,,Yes,Yes,Yes,4.14,-1.179
Q07813,Apoptosis regulator BAX,Bax,Transporter,Nucleus; Mitochondria,Yes,,,,
Q08024-2,Isoform 2 of Core-binding factor subunit beta,Cbfb,,Nucleus,Yes,,,,
Q08091,Calponin-1,Cnn1,,,Yes,,,,
Q08288,Cell growth-regulating nucleolar protein,Lyar,,Nucleus,Yes,,,,
Q08376,Zinc finger and BTB domain-containing protein 14,Zbtb14,Transcription regulator,Nucleus,Yes,,,,
Q08509,Epidermal growth factor receptor kinase substrate 8,Eps8,Peptidase,,Yes,,,,
Q08642,Protein-arginine deiminase type-2,Padi2,Enzyme,Nucleus,Yes,,,,
Q08775,Runt-related transcription factor 2,Runx2,Transcription regulator,Nucleus,Yes,,,,
Q08943,FACT complex subunit SSRP1,Ssrp1,Transcription regulator,Nucleus,Yes,Yes,Yes,1.966,-1.96
Q08ED0,Bcl-2-like protein 15,Bcl2l15,,Nucleus,Yes,,,,
Q09014,Neutrophil cytosol factor 1,Ncf1,Enzyme,,Yes,,,,
Q09143,High affinity cationic amino acid transporter 1,Slc7a1,Transporter,,Yes,,,,
Q09199,"Beta-1,4 N-acetylgalactosaminyltransferase 2",B4galnt2,Enzyme,,Yes,,,,
Q09200,"Beta-1,4 N-acetylgalactosaminyltransferase 1",B4galnt1,Enzyme,,Yes,,,,
Q09TK9,Serine protease inhibitor Kazal-type 8 ,Spink8,,,,,,,
Q09XV5,Chromodomain-helicase-DNA-binding protein 8,Chd8,Enzyme,Nucleus,Yes,,,,
Q0EEE2,Patched domain-containing protein 3,Ptchd3,,Mid-piece,Yes,Yes,Yes,3.284,0.551
Q0KL02,Triple functional domain protein,Trio,Kinase,,Yes,,,,
Q0P557,Mitochondria-eating protein,Spata18,,Mitochondria,Yes,Yes,Yes,3.125,0.308
Q0P557-3,Isoform 3 of Mitochondria-eating protein,Spata18,,Mitochondria,Yes,Yes,Yes,1.331,0.298
Q0P5Y3,Tubulin polymerization-promoting protein family member 2,Tppp2,,Flagellum,Yes,Yes,Yes,2.029,0.399
Q0P678,Zinc finger CCCH domain-containing protein 18,Zc3h18,,Nucleus,Yes,,,,
Q0Q236,Binder of sperm protein homolog 2,Bsph2,,,,Yes,,,
Q0VB26,Testis-expressed protein 26,Tex26,,,Yes,Yes,Yes,3.239,0.783
Q0VBL1,Tigger transposable element-derived protein 2,Tigd2,,Nucleus,Yes,,,,
Q0VBL3,RNA-binding protein 15,Rbm15,,Nucleus,Yes,,,,
Q0VDN7,RUN domain-containing protein 1,Rundc1,,,Yes,,,,
Q0VEE6,Zinc finger protein 800,Znf800,,Nucleus,Yes,,,,
Q0VEJ0,Centrosomal protein of 76 kDa,Cep76,,Axoneme,,Yes,,,
Q0VET5,Lamin tail domain-containing protein 2,Lmntd2,,,Yes,Yes,Yes,3.389,0.542
Q0VFX2,Cilia- and flagella-associated protein 157,Cfap157,,,Yes,Yes,Yes,2.715,0.752
Q0VG49,Uncharacterized protein C15orf61 homolog,,,,Yes,,,,
Q0VGB7,Serine/threonine-protein phosphatase 4 regulatory subunit 2,Ppp4r2,,Nucleus,Yes,,,,
Q10738,Matrilysin,Mmp7,Peptidase,,,Yes,,,
Q11011,Puromycin-sensitive aminopeptidase,Npepps,Peptidase,Nucleus,Yes,Yes,Yes,1.742,-0.154
Q11127,"Alpha-(1,3)-fucosyltransferase 4",Fut4,Enzyme,,Yes,,,,
Q11136,Xaa-Pro dipeptidase,Pepd,Peptidase,,Yes,Yes,Yes,2.368,-1.739
Q11204,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",St3gal2,Enzyme,,Yes,,,,
Q148A4,Protein phosphatase 1 regulatory subunit 32,Ppp1r32,,,Yes,Yes,Yes,2.812,0.332
Q148B6,Speriolin,Spatc1,,,Yes,Yes,Yes,5.334,0.165
Q148V7,RAB11-binding protein RELCH,Relch,,,Yes,Yes,Yes,0.971,-0.081
Q148V8,Protein FAM83H,Fam83h,,,Yes,,,,
Q149L6,DnaJ homolog subfamily B member 14,Dnajb14,Enzyme,Nucleus,Yes,,,,
Q149S1,Tektin-4,Tekt4,Transporter,Mid-piece,Yes,Yes,Yes,0.636,0.108
Q14AE4,WAP four-disulfide core domain protein 3,Wfdc3,,,Yes,,,,
Q14AK4,Probable palmitoyltransferase ZDHHC11,Zdhhc11,Enzyme,,,Yes,,,
Q14AW5,Putative methyltransferase NSUN7,Nsun7,,,Yes,,,,
Q14AX6,Cyclin-dependent kinase 12,Cdk12,Kinase,Nucleus,Yes,,,,
Q14BK3,Testis-expressed protein 35,Tex35,,Nucleus,,Yes,,,
Q14BX2,Serine protease 55,Prss55,,Acrosome,Yes,Yes,Yes,0.641,0.18
Q14C37,LEM domain-containing protein 1,Lemd1,,,Yes,Yes,Yes,0.908,0.231
Q14C51,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",Ptcd3,,,Yes,,,,
Q14CH7,"Alanine--tRNA ligase, mitochondrial",Aars2,Enzyme,,Yes,,,,
Q14DH7,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Acss3,Enzyme,Mitochondria,Yes,,,,
Q14DL0,Ubiquilin-like protein,Ubqlnl,,,Yes,Yes,Yes,2.047,0.775
Q14DL3,Leucine-rich repeat and IQ domain-containing protein 3,Lrriq3,,,Yes,,,,
Q14DL3-3,Isoform 3 of Leucine-rich repeat and IQ domain-containing protein 3,Lrriq3,,,,Yes,,,
Q1EG27,Myosin-IIIb,Myo3b,Kinase,,Yes,,,,
Q1HFZ0,RNA cytosine C(5)-methyltransferase NSUN2,Nsun2,Enzyme,Nucleus,Yes,,,,
Q2HXL6,ER degradation-enhancing alpha-mannosidase-like protein 3,Edem3,Enzyme,,Yes,,,,
Q2KN98,Cytospin-A,Specc1l,,,Yes,,,,
Q2MH31,Spermatid-specific manchette-related protein 1,Smrp1,,Nucleus,Yes,Yes,Yes,2.131,0.329
Q2MH31-4,Isoform 2 of Spermatid-specific manchette-related protein 1,Smrp1,,Nucleus,Yes,Yes,Yes,0.381,0.046
Q2NL51,Glycogen synthase kinase-3 alpha,Gsk3a,Kinase,Nucleus,Yes,Yes,Yes,1.054,0.088
Q2PFD7,PH and SEC7 domain-containing protein 3,Psd3,,,,Yes,,,
Q2TBE6,Phosphatidylinositol 4-kinase type 2-alpha,Pi4k2a,Kinase,,Yes,,,,
Q2TPA8,Hydroxysteroid dehydrogenase-like protein 2,Hsdl2,,,Yes,Yes,Yes,3.151,-0.76
Q2VPQ9,Chromatin modification-related protein MEAF6,Meaf6,,Nucleus,Yes,,,,
Q2XU92,Long-chain-fatty-acid--CoA ligase ACSBG2,Acsbg2,Enzyme,,Yes,Yes,Yes,3.893,0.598
Q2YDW2,Protein misato homolog 1,Msto1,,Mitochondria,Yes,Yes,Yes,2.764,0.336
Q2YDW7,N-lysine methyltransferase KMT5A,Kmt5a,Enzyme,Nucleus,Yes,,,,
Q30KM9,Beta-defensin 43 ,Defb43,,,,,,,
Q30KN3,Beta-defensin 33 ,Defb33,,,,,,,
Q30KN4,Beta-defensin 30,Defb30,,,,Yes,,,
Q30KP3,Beta-defensin 20,Defb20,,,Yes,Yes,Yes,4.686,-0.753
Q30KP5,Beta-defensin 18,Defb18,,,Yes,Yes,Yes,0.111,0.011
Q30KP6,Beta-defensin 41,Defb41,,,Yes,,,,
Q32M07,Adenylate kinase 8,Ak8,Kinase,Axoneme,Yes,Yes,Yes,2.814,0.347
Q32MG2,Protein chibby homolog 2,Cby2,,,Yes,Yes,Yes,2.281,0.351
Q32MW3,"Acyl-coenzyme A thioesterase 10, mitochondrial",Acot10,Enzyme,,Yes,Yes,Yes,3.693,0.725
Q32NY4,Metal transporter CNNM3,Cnnm3,,,Yes,,,,
Q32NZ6,Transmembrane channel-like protein 5,Tmc5,,,Yes,,,,
Q32NZ6-2,Isoform 2 of Transmembrane channel-like protein 5,Tmc5,,,,Yes,,,
Q32Q92,Acyl-coenzyme A thioesterase 6,Acot6,Enzyme,,Yes,,,,
Q3B7Z2,Oxysterol-binding protein 1,Osbp,Transporter,,Yes,,,,
Q3KNJ2,Non-homologous end-joining factor 1,Nhej1,,Nucleus,,Yes,,,
Q3KNK3,NADH-cytochrome b5 reductase 2,Cyb5r2,Enzyme,,Yes,Yes,Yes,1.793,0.265
Q3KNL4,UPF0728 protein C10orf53 homolog,,,,Yes,Yes,Yes,3.227,0.578
Q3KNM2,E3 ubiquitin-protein ligase MARCHF5,Marchf5,Enzyme,Mitochondria,Yes,Yes,Yes,0.86,-0.068
